hpsa_name,metropolitan_indicator,designation_type,hpsa_discipline_class,hpsa_status,hpsa_score,hpsa_designation_population,u_s_mexico_border_county_indicator,rural_status,hpsa_population_type
LI - MSSA 87.1/Boonville/Navarro/Philo,Unknown,HPSA Population,Primary Care,Designated,18,1280,N,Rural,Low Income Population HPSA
MSSA 10/Oroville,Unknown,High Needs Geographic HPSA,Primary Care,Designated,15,49485,N,Rural,Geographic Population
MSSA 58.1/Shafter,Unknown,High Needs Geographic HPSA,Primary Care,Designated,14,24338,N,Non-Rural,Geographic Population
Alpine,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,6060,Y,Non-Rural,Geographic Population
Poverty Population - South Sacramento,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,13156,N,Non-Rural,Low Income Population HPSA
Medicaid - Tuolumne County,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5330,N,Rural,Medicaid Eligible Population HPSA
Medicaid Eligible - Ridgecrest (MSSA 64),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,2706,N,Rural,Medicaid Eligible Population HPSA
Poverty Population - Fowler/Selma/Kingsburg,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5431,N,Rural,Low Income Population HPSA
Medicaid Eligible - Auburn/Colfax/Forsethill,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,3659,N,Rural,Medicaid Eligible Population HPSA
Low Income - Cutler/Orosi/Dinuba,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,22404,N,Non-Rural,Low Income Population HPSA
Medicaid Eligible - Ukiah/Hopland,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,6424,N,Rural,Medicaid Eligible Population HPSA
Idyllwild/Pine Cove (MSSA 130),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,11700,N,Non-Rural,Geographic Population
Medi-Cal Population - Waterford,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1300,N,Non-Rural,Medicaid Eligible Population HPSA
Migrant Seasonal Farmworkers - Pajaro Valley,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,46697,N,Non-Rural,Migrant Seasonal Worker Population HPSA
Gustine/Newman,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,12141,N,Partially Rural,Geographic Population
Low Income - Eureka (MSSA 39),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,11,30354,N,Rural,Low Income Population HPSA
Markleeville,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,2326,N,Rural,Geographic Population
Low Inc - MSSA 161g (Lemon Grove NW/National City E),Metropolitan,HPSA Population,Primary Care,Withdrawn,6,46340,Y,Non-Rural,Low Income Population HPSA
Ceres/Modesto South Central (MSSA 215C),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,83534,N,Non-Rural,Geographic Population
Low Income/Migrant Farmworker-MSSA 35C-F/Fresno We,Metropolitan,HPSA Population,Primary Care,Withdrawn,17,237476,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Low Inc-MSSA 149/Barstow/Daggett/Oro Grande/Yermo,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,13,22789,N,Non-Rural,Low Income Population HPSA
Gilroy/Morgan Hill (MSSA 182),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,95649,N,Non-Rural,Geographic Population
Low Income - Lompoc (MSSA 179),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,18839,N,Non-Rural,Low Income Population HPSA
Alemany/Excelsior (MSSA 162F),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,125119,N,Non-Rural,Geographic Population
MSSA 78.2c/Bell NE/Bell Gardens/Montebello S,Unknown,Geographic HPSA,Primary Care,Withdrawn,9,125390,N,Non-Rural,Geographic Population
LI-MSSA 73/Bieber,Unknown,HPSA Population,Primary Care,Withdrawn,10,356,N,Rural,Low Income Population HPSA
Low Income/Migrant Farmworkers - MSSA 169b/French Camp,Unknown,HPSA Population,Primary Care,Withdrawn,4,80912,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Adin/Lookout (MSSA 100),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,7741,N,Rural,Geographic Population
Low Income/MFW - MSSA 31/Sanger/Clovis E,Unknown,HPSA Population,Primary Care,Withdrawn,9,31291,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
LI-MSSA 77.1c/Lancaster Central,Unknown,HPSA Population,Primary Care,Withdrawn,13,54320,N,Non-Rural,Low Income Population HPSA
Low Income - MSSA 78.2m/Bellflower,Unknown,HPSA Population,Primary Care,Withdrawn,15,41605,N,Non-Rural,Low Income Population HPSA
LI/MFW/Homeless - MSSA 30/Kingsburg/Selma,Unknown,HPSA Population,Primary Care,Withdrawn,12,55279,N,Rural,Low Income Homeless Migrant Farmworker Population HPSA
Low Income/MFW/H - MSSA 35b/Clovis West/Fresno Eas,Unknown,HPSA Population,Primary Care,Withdrawn,11,35589,N,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA
Bell Southwest/Vernon (MSSA 78.2DDD),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,84680,N,Non-Rural,Geographic Population
MSSA 30/Kingsburg/Selma,Unknown,High Needs Geographic HPSA,Primary Care,Designated,11,92487,N,Non-Rural,Geographic Population
MSSA 77.2/Lake Los Angeles,Unknown,Geographic HPSA,Primary Care,Designated,17,18283,N,Non-Rural,Geographic Population
MSSA 8-Magalia/Paradise/Stirling City,Unknown,Geographic HPSA,Primary Care,Designated,15,40625,N,Rural,Geographic Population
LI MSSA 129.3/Agua Caliente/Palm Springs Central,Unknown,HPSA Population,Primary Care,Designated,14,11080,N,Non-Rural,Low Income Population HPSA
ME-MSSA 180.1/Orcutt/Santa Maria,Unknown,HPSA Population,Primary Care,Designated,12,65254,N,Non-Rural,Medicaid Eligible Population HPSA
Manteca/Escalon MSSA-164.1 and 164.2,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,112539,N,Non-Rural,Geographic Population
Low Income/MFW/H - MSSA 35c/35e/Fresno W Central/S,Unknown,HPSA Population,Primary Care,Withdrawn,11,118159,N,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA
LI-MSSA 78.2c/Bell NE,Unknown,HPSA Population,Primary Care,Designated,16,60229,N,Non-Rural,Low Income Population HPSA
MSSA 189.1 - Palo Cedro,Unknown,Geographic HPSA,Primary Care,Designated,11,4629,N,Non-Rural,Geographic Population
MSSAs 27 &amp; 28/Coalinga/Huron,Unknown,High Needs Geographic HPSA,Primary Care,Designated,16,25539,N,Rural,Geographic Population
ME - MSSA 159/Campo,Unknown,HPSA Population,Primary Care,Designated,17,3166,Y,Rural,Medicaid Eligible Population HPSA
MSSAs 227.1 and 227.2/Dinuba-Orosi,Unknown,High Needs Geographic HPSA,Primary Care,Designated,15,53940,N,Rural,Geographic Population
MSSA 39 &amp; 40 - Arcata/Eureka,Unknown,High Needs Geographic HPSA,Primary Care,Designated,9,94800,N,Rural,Geographic Population
MSSA 78.2GGG Low Income/S.Central Northeast,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,10,72077,N,Non-Rural,Low Income Population HPSA
MSSA 185.2 (Davenport),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,11,4018,N,Non-Rural,Geographic Population
MSSA 78.2s/South Central Southwest,Metropolitan,High Needs Geographic HPSA,Primary Care,Withdrawn,14,90943,N,Non-Rural,Geographic Population
MSSA 228.1/Ivanhoe,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,15,16961,N,Non-Rural,Geographic Population
Low Income - MSSA 190 (Burney/Cassel),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,8721,N,Rural,Low Income Population HPSA
Low Income/Migrant Farmworker - MSSA 66B (Bakersfi,Metropolitan,HPSA Population,Primary Care,Withdrawn,19,97630,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Low Income/MFW - MSSA 64/Inyokern/Ridgecrest,Unknown,HPSA Population,Primary Care,Withdrawn,15,10921,N,Rural,Low Income Migrant Farmworker Population HPSA
MSSA 140/Hollister,Unknown,Geographic HPSA,Primary Care,Designated,7,59218,N,Rural,Geographic Population
MSSA 145.1b - Hesperia East,Unknown,HPSA Population,Primary Care,Designated,13,47369,N,Unknown,Low Income Population HPSA
MSSA 96/Atwater,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,5,50566,N,Non-Rural,Geographic Population
MSSA 63/Lake Isabella,Unknown,High Needs Geographic HPSA,Primary Care,Designated,17,15346,N,Rural,Geographic Population
LI/MFW - MSSA 195/Yreka/Montague/Grenada/Gazelle/Hilt/Hornbrook,Unknown,HPSA Population,Primary Care,Designated,15,6767,N,Rural,Low Income Migrant Farmworker Population HPSA
MSSA 11 - Berry Creek,Unknown,Geographic HPSA,Primary Care,Designated,16,4660,N,Rural,Geographic Population
MSSA 114 &amp; 117/Truckee/Dollar Point,Unknown,Geographic HPSA,Primary Care,Designated,6,31036,N,Rural,Geographic Population
MSSA 228.1/Woodlake/Ivanhoe,Unknown,High Needs Geographic HPSA,Primary Care,Designated,16,16283,N,Non-Rural,Geographic Population
LI/MFW - MSSA 95/Ballico/Delhi/Livingston,Unknown,HPSA Population,Primary Care,Designated,16,20117,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Sierra County,Unknown,Geographic HPSA,Primary Care,Designated,10,3013,N,Rural,Geographic Population
MSSA 71.1 Clearlake/Clearlake Oaks,Unknown,High Needs Geographic HPSA,Primary Care,Designated,9,23144,N,Rural,Geographic Population
LI/MFW - MSSA 184/Freedom/Watsonville,Unknown,HPSA Population,Primary Care,Designated,8,29753,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
"MSSA 46, 47, 50/East Imperial",Unknown,High Needs Geographic HPSA,Primary Care,Designated,10,42420,Y,Rural,Geographic Population
MSSAs 234.2/236-Sonora/E Sonora,Unknown,Geographic HPSA,Primary Care,Withdrawn,11,54777,N,Rural,Geographic Population
Low Income/MFW - MSSA 97.3/Le Grand/Planada,Unknown,HPSA Population,Primary Care,Withdrawn,17,4875,N,Rural,Low Income Migrant Farmworker Population HPSA
Low Income/Migrant FW - MSSA 145.1a/Hesperia West,Unknown,HPSA Population,Primary Care,Withdrawn,16,87711,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
LI-MSSA 78.2s/South Central Southwest,Unknown,HPSA Population,Primary Care,Designated,19,57417,N,Non-Rural,Low Income Population HPSA
MSSA 37/Willows,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,10,10939,N,Rural,Geographic Population
LI/MFW MSSA 230 - Tulare,Unknown,HPSA Population,Primary Care,Designated,17,42336,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
"MSSA 222/Corning, Los Molinos, Tehama County",Unknown,High Needs Geographic HPSA,Primary Care,Designated,15,17795,N,Rural,Geographic Population
Sierra,Frontier,Geographic HPSA,Primary Care,Withdrawn,0,3400,N,Rural,Geographic Population
San Benito,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,24799,N,Rural,Geographic Population
Glenn,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,27531,N,Rural,Geographic Population
ME-MSSA 151f/Colton,Unknown,HPSA Population,Primary Care,Designated,9,73534,N,Non-Rural,Medicaid Eligible Population HPSA
MSSA 78.2oo - El Monte/Five Points,Unknown,High Needs Geographic HPSA,Primary Care,Designated,10,99650,N,Non-Rural,Geographic Population
MSSA 78.2ggg/South Central Northeast,Unknown,High Needs Geographic HPSA,Primary Care,Designated,13,138940,N,Non-Rural,Geographic Population
LI MFW MSSA 26 - San Joaquin,Unknown,HPSA Population,Primary Care,Designated,17,4916,N,Rural,Low Income Migrant Farmworker Population HPSA
Low Income/MFW - MSSA 161h/El Cajon Central and So,Unknown,HPSA Population,Primary Care,Withdrawn,12,46575,Y,Non-Rural,Low Income Migrant Farmworker Population HPSA
"MSSA 225/Hayfork, Forest Glen, Peanut",Unknown,Geographic HPSA,Primary Care,Designated,15,3182,N,Rural,Geographic Population
Low Income/Migrant Farmworker - Tulare (MSSA 233B),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,41444,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Low Income - Antioch N./Pittsburg N.(MSSA18D),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,27667,N,Non-Rural,Low Income Population HPSA
Low Income/Migrant Farmworker - Willows (MSSA 37),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,12257,N,Rural,Low Income Migrant Farmworker Population HPSA
Low Income - Hollister (MSSA 140),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,15335,N,Rural,Low Income Population HPSA
Low Income - Fontana East (MSSA 151F),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,58281,N,Non-Rural,Low Income Population HPSA
Pollock Pines (MSSA 23.2),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,24336,N,Rural,Geographic Population
Ramona,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,27889,Y,Non-Rural,Geographic Population
Poverty Population - San Marcos,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,3627,N,Rural,Low Income Population HPSA
MSSA 30/Caruthers-Raisin City,Non-Metropolitan,High Needs Geographic HPSA,Primary Care,Withdrawn,7,92258,N,Rural,Geographic Population
MSSA 190 Burney/Cassel/Fall River Mills/Hat Creek/,Unknown,Geographic HPSA,Primary Care,Withdrawn,15,7153,N,Rural,Geographic Population
Downieville MSSA 192,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3468,N,Rural,Geographic Population
Coalinga,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,9480,N,Rural,Geographic Population
MSSA 26/San Joaquin,Unknown,Geographic HPSA,Primary Care,Withdrawn,16,9467,N,Rural,Geographic Population
Low Income - Oroville/Palermo (MSSA 10),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,43389,N,Rural,Low Income Population HPSA
Low Income - Lower Lake (MSSA 71),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,14561,N,Rural,Low Income Population HPSA
Low Income - MSSA 24/South Lake Tahoe,Unknown,HPSA Population,Primary Care,Withdrawn,16,10741,N,Rural,Low Income Population HPSA
Low Income/MFW - MSSA 99/Surprise Valley,Unknown,HPSA Population,Primary Care,Withdrawn,9,617,N,Rural,Low Income Migrant Farmworker Population HPSA
Low Income - Alturas/Canby (MSSA 98),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5846,N,Rural,Low Income Population HPSA
MSSA 78.2aaa-Watts/Willowbrook,Metropolitan,High Needs Geographic HPSA,Primary Care,Withdrawn,7,82431,N,Non-Rural,Geographic Population
Low Income/Migrant Farmworker/Homeless - Atascader,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,13609,N,Non-Rural,Low Income Homeless Migrant Farmworker Population HPSA
Low Income - Boonville (MSSA 87.1),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1341,N,Rural,Low Income Population HPSA
Low Income - Coulterville/Mariposa,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5894,N,Rural,Low Income Population HPSA
Maple/Santa Barbara,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,93367,N,Non-Rural,Geographic Population
Huntington Park/Slauson Central MSSA 78,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,115999,N,Non-Rural,Geographic Population
Poverty/Migrant Farmworker - Buttonwillow/Wasco/Sh,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,10884,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Hayfork/Forest Glen/Peanut(MSSA 225),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3121,N,Rural,Geographic Population
Bolinas/Stinson Beach (MSSA 81),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,15006,N,Rural,Geographic Population
Medicaid Eligible - Central North Redding MSSA 189,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,31000,N,Non-Rural,Medicaid Eligible Population HPSA
Low Income - Angels (MSSA 12),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,43712,N,Rural,Low Income Population HPSA
Low Income - Lake Tahoe/Tahoe City,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,2885,N,Rural,Low Income Population HPSA
Medicaid Eligible - Winterhaven-Bard,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1355,N,Rural,Medicaid Eligible Population HPSA
Low Income/Migrant Farmworker - San Juan Capistran,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,16766,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Low Income/Migrant Farmworker - Northern Napa Coun,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,4234,N,Rural,Low Income Migrant Farmworker Population HPSA
Low Income - Shafter (MSSA 58.1),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,14990,N,Non-Rural,Low Income Population HPSA
LI/MSSA 176b/E Menlo Park/E Palo Alto/Fa,Unknown,HPSA Population,Primary Care,Withdrawn,6,26639,N,Non-Rural,Low Income Population HPSA
MSSA 78.2fff-Firestone/Florence South,Metropolitan,High Needs Geographic HPSA,Primary Care,Withdrawn,12,97695,N,Non-Rural,Geographic Population
Low Income - Lake Isabella (MSSA 63),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,7511,N,Rural,Low Income Population HPSA
Low Income - Petaluma,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,17848,N,Non-Rural,Low Income Population HPSA
Migrant Seasonal Farmworkers - Lower Coachella Val,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,8680,N,Non-Rural,Migrant Seasonal Worker Population HPSA
LI-MSSA 230/Tulare/Tipton,Unknown,HPSA Population,Primary Care,Withdrawn,10,35509,N,Non-Rural,Low Income Population HPSA
Honey Lake,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,2502,N,Rural,Geographic Population
Mono North/Topaz Walker,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,5058,N,Rural,Geographic Population
MSSA 58.2/Lost Hills/Wasco,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,17,24124,N,Rural,Geographic Population
Figueroa/Firestone/Green Meadows/Watts,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,152055,N,Non-Rural,Geographic Population
Low Income/Migrant Farmworker - MSSA 212.1 (Denair,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,26857,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Low Income - Rio Dell/Scotia (MSSA 43),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1980,N,Rural,Low Income Population HPSA
Low Income - MSSA 42/Fortuna,Unknown,HPSA Population,Primary Care,Withdrawn,9,11707,N,Rural,Low Income Population HPSA
LI - MSSA 78.2l/Exposition Park/Leimert Park,Unknown,HPSA Population,Primary Care,Designated,12,51869,N,Non-Rural,Low Income Population HPSA
MSSA 57.1/Fort Tejon,Unknown,Geographic HPSA,Primary Care,Designated,17,7676,N,Rural,Geographic Population
MSSA 48 El Centro,Unknown,High Needs Geographic HPSA,Primary Care,Designated,11,87253,Y,Non-Rural,Geographic Population
Low Income - MSSA 161d/Chollas Creek,Unknown,HPSA Population,Primary Care,Withdrawn,12,56853,Y,Non-Rural,Low Income Population HPSA
Low Income - MSSA 145.1b/Apple Valley,Unknown,HPSA Population,Primary Care,Withdrawn,16,47533,N,Non-Rural,Low Income Population HPSA
ME - MSSA109.2/Salinas,Unknown,HPSA Population,Primary Care,Designated,16,96399,N,Non-Rural,Medicaid Eligible Population HPSA
LI/MFW - MSSA 228.2/Exeter,Unknown,HPSA Population,Primary Care,Designated,19,28164,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
MSSA 232/Springville,Unknown,Geographic HPSA,Primary Care,Designated,16,5173,N,Rural,Geographic Population
MSSA 71.2 &amp; 71.3/Lower Lake/Cobb,Unknown,Geographic HPSA,Primary Care,Designated,14,23150,N,Rural,Geographic Population
Low Income - MSSA 133.1/Canyon Lake,Unknown,HPSA Population,Primary Care,Withdrawn,13,73838,N,Non-Rural,Low Income Population HPSA
LI/MFW/H - MSSAs197/198/199/Weed/Dunsmuir/McCloud,Unknown,HPSA Population,Primary Care,Designated,17,7241,N,Rural,Low Income Homeless Migrant Farmworker Population HPSA
ME - MSSA 116q/Anaheim East/City of Orange North/Placentia,Unknown,HPSA Population,Primary Care,Designated,13,43084,N,Non-Rural,Medicaid Eligible Population HPSA
LI-MSSA 78.2p/Long Beach Port,Unknown,HPSA Population,Primary Care,Designated,16,55581,N,Non-Rural,Low Income Population HPSA
Watsonville,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,59841,N,Non-Rural,Geographic Population
South Barstow-Victorville/Adelanto/Apple Val,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,178736,N,Non-Rural,Geographic Population
Argus/Trona (MSSA 142),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,2239,N,Rural,Geographic Population
Huron (MSSA 28),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,8447,N,Rural,Geographic Population
South Coachella Valley/Mecca,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,16993,N,Rural,Geographic Population
Chuckwall/Desert Center/Eagle Mountain,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,1905,N,Rural,Geographic Population
MSSA 104/Big Sur,Unknown,Geographic HPSA,Primary Care,Withdrawn,14,2746,N,Rural,Geographic Population
West Imperial,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,694,Y,Rural,Geographic Population
"MSSA 187/Castella, Lakehead, O",Unknown,Geographic HPSA,Primary Care,Withdrawn,9,1678,N,Rural,Geographic Population
Low Income/MFW - MSSA 32/Parlier/Reedley,Unknown,HPSA Population,Primary Care,Withdrawn,6,39437,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Low Income - Big Bear Lake(MSSA 146),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,24755,N,Non-Rural,Low Income Population HPSA
Knights Landing,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3177,N,Non-Rural,Geographic Population
Southeast Fresno,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,22075,N,Non-Rural,Geographic Population
Willow Creek/Hoopa (MSSA 38),Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,5819,Y,Non-Rural,Geographic Population
West Berkeley,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,32757,N,Non-Rural,Geographic Population
Wrightwood,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,3024,N,Non-Rural,Geographic Population
West Point/Wilseyville,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,12347,N,Rural,Geographic Population
Sutter Creek/Plymouth,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,7280,N,Rural,Geographic Population
Stanislaus/Yosemite,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,10340,N,Rural,Geographic Population
Pine Grove/Silver Lake,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,5953,N,Rural,Geographic Population
Spanish Speaking Population - Healdsburg,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5271,N,Non-Rural,Other Population HPSA
MSSA 169b/Stockton South & Southeast,Metropolitan,High Needs Geographic HPSA,Primary Care,Withdrawn,12,144306,N,Non-Rural,Geographic Population
Low Income - Yuba Foothills,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,1880,N,Non-Rural,Low Income Population HPSA
Low Income - Los Banos (MSSA 94),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,21403,N,Rural,Low Income Population HPSA
Medicaid - Oakdale/Riverbank,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,5764,N,Rural,Medicaid Eligible Population HPSA
Low Income - Lindsay (MSSA 228),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,25249,N,Rural,Low Income Population HPSA
Low Income - MSSA 23.3 (Placerville),Unknown,HPSA Population,Primary Care,Withdrawn,5,14821,N,Non-Rural,Low Income Population HPSA
Low Income - East Bakersfield (MSSA 66B),Metropolitan,HPSA Population,Primary Care,Withdrawn,0,52604,N,Non-Rural,Low Income Population HPSA
Willows,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,14345,N,Rural,Geographic Population
Low Income - Anderson/Cottonwood (MSSA 186),Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,11942,N,Non-Rural,Low Income Population HPSA
Medi-Cal Population - Calaveras County,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,3978,N,Rural,Medicaid Eligible Population HPSA
East Yolo,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,31507,N,Non-Rural,Geographic Population
Nipomo/Arroyo Grande,Non-Metropolitan,HPSA Population,Primary Care,Withdrawn,0,10000,N,Non-Rural,Geographic Population
MSSA 56/Death Valley,Frontier,Geographic HPSA,Primary Care,Withdrawn,15,1244,N,Rural,Geographic Population
The Developmentally Disabled-Ventura County,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,15000,N,Partially Rural,Other Population HPSA
MSSA 79.1/Oakhurst-N Fork,Unknown,High Needs Geographic HPSA,Primary Care,Withdrawn,9,31841,N,Non-Rural,Geographic Population
Low Income/Migrant Farmworker - Southwest Merced,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,20370,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Low Income/Migrant Farmworker - Atwater/Livingston,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,32532,N,Non-Rural,Low Income Migrant Farmworker Population HPSA
Lemon Grove/National City (MSSA 161G),Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,88919,Y,Non-Rural,Geographic Population
Low Income - South of Market,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,40740,N,Non-Rural,Low Income Population HPSA
Helendale/Silver Lakes,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,6444,N,Non-Rural,Geographic Population
MSSA 73-Bieber,Frontier,Geographic HPSA,Primary Care,Withdrawn,13,2217,N,Rural,Geographic Population
Madeline Plains,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,369,N,Rural,Geographic Population
Palo Verde/Blythe,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,13699,N,Rural,Geographic Population
Loma Prieta School District,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,7000,N,Non-Rural,Geographic Population
Mig./Spanish Speaking Population - Southwest Stani,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,6916,N,Partially Rural,Other Population HPSA
Migrant Spanish Speaking-Greater Merced,Metropolitan,HPSA Population,Primary Care,Withdrawn,0,10000,N,Non-Rural,Migrant Seasonal Worker Population HPSA
Low Income - MSSA 116B (Central Santa Ana),Metropolitan,HPSA Population,Primary Care,Withdrawn,10,77498,N,Non-Rural,Low Income Population HPSA
East Contra Costa,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,39032,N,Non-Rural,Geographic Population
MSSA 144.2 & 144.3/Joshua Tree/Cadiz,Unknown,Geographic HPSA,Primary Care,Withdrawn,12,59390,N,Rural,Geographic Population
Maywood Bell,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,121086,N,Non-Rural,Geographic Population
East Oakland,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,71543,N,Non-Rural,Geographic Population
Central Oakland,Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,68540,N,Non-Rural,Geographic Population
Orland,Non-Metropolitan,Geographic HPSA,Primary Care,Withdrawn,0,10173,N,Rural,Geographic Population
