HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,PC MCTA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text
ME MSSA 161d - Chollas Creek/City Heights/East San Diego/Nor,1067572116,HPSA Population,Primary Care,10, 6,CA,Designated,19/10/2020,19/10/2020,Unknown,06073002705,Not applicable,,9.8,47435,24.4,4840:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"San Diego County, CA",,Region 9,CA,06073,06,California,San Diego,073,1,,,"Census Tract 27.05, San Diego County, California",,CA,CT,Census Tract,Medicaid Eligible Population HPSA,29400,18035,0,M,,3000:1,,6.01,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06073,06,California,Y,Y,27/03/2024,03/27/2024
ME MSSA 161d - Chollas Creek/City Heights/East San Diego/Nor,1067572116,HPSA Population,Primary Care,10, 6,CA,Designated,19/10/2020,19/10/2020,Unknown,06073002707,Not applicable,,9.8,47435,24.4,4840:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"San Diego County, CA",,Region 9,CA,06073,06,California,San Diego,073,1,,,"Census Tract 27.07, San Diego County, California",,CA,CT,Census Tract,Medicaid Eligible Population HPSA,29400,18035,0,M,,3000:1,,6.01,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06073,06,California,Y,Y,27/03/2024,03/27/2024
Low Income - MSSA 70.1/70.2/Lakeport/Lucerne,1067557916,HPSA Population,Primary Care,13,NA,CA,Withdrawn,15/05/2014,02/01/2024,Unknown,06033000300,Not applicable,02/01/2024,2.68,11038,24.3,4119:1,Low Income Population HPSA,,,,,N,"Lake County, CA",,Region 9,CA,06033,06,California,Lake,033,1,,,3,,CA,CT,Census Tract,Low Income Population HPSA,8040,2998,0,LI,,3000:1,,1,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06033,06,California,N,N,27/03/2024,03/27/2024
Low Income - MSSA 70.1/70.2/Lakeport/Lucerne,1067557916,HPSA Population,Primary Care,13,NA,CA,Withdrawn,15/05/2014,02/01/2024,Unknown,06033000501,Not applicable,02/01/2024,2.68,11038,24.3,4119:1,Low Income Population HPSA,,,,,N,"Lake County, CA",,Region 9,CA,06033,06,California,Lake,033,1,,,5.01,,CA,CT,Census Tract,Low Income Population HPSA,8040,2998,0,LI,,3000:1,,1,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06033,06,California,N,N,27/03/2024,03/27/2024
Low Income - MSSA 70.1/70.2/Lakeport/Lucerne,1067557916,HPSA Population,Primary Care,13,NA,CA,Withdrawn,15/05/2014,02/01/2024,Unknown,06033000400,Not applicable,02/01/2024,2.68,11038,24.3,4119:1,Low Income Population HPSA,,,,,N,"Lake County, CA",,Region 9,CA,06033,06,California,Lake,033,1,,,4,,CA,CT,Census Tract,Low Income Population HPSA,8040,2998,0,LI,,3000:1,,1,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06033,06,California,U,N,27/03/2024,03/27/2024
Low Income - MSSA 70.1/70.2/Lakeport/Lucerne,1067557916,HPSA Population,Primary Care,13,NA,CA,Withdrawn,15/05/2014,02/01/2024,Unknown,06033000502,Not applicable,02/01/2024,2.68,11038,24.3,4119:1,Low Income Population HPSA,,,,,N,"Lake County, CA",,Region 9,CA,06033,06,California,Lake,033,1,,,5.02,,CA,CT,Census Tract,Low Income Population HPSA,8040,2998,0,LI,,3000:1,,1,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06033,06,California,N,N,27/03/2024,03/27/2024
Low Income - MSSA 70.1/70.2/Lakeport/Lucerne,1067557916,HPSA Population,Primary Care,13,NA,CA,Withdrawn,15/05/2014,02/01/2024,Unknown,06033001000,Not applicable,02/01/2024,2.68,11038,24.3,4119:1,Low Income Population HPSA,,,,,N,"Lake County, CA",,Region 9,CA,06033,06,California,Lake,033,1,,,10,,CA,CT,Census Tract,Low Income Population HPSA,8040,2998,0,LI,,3000:1,,1,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06033,06,California,N,N,27/03/2024,03/27/2024
Low Income - MSSA 70.1/70.2/Lakeport/Lucerne,1067557916,HPSA Population,Primary Care,13,NA,CA,Withdrawn,15/05/2014,02/01/2024,Unknown,06033000100,Not applicable,02/01/2024,2.68,11038,24.3,4119:1,Low Income Population HPSA,,,,,N,"Lake County, CA",,Region 9,CA,06033,06,California,Lake,033,1,,,1,,CA,CT,Census Tract,Low Income Population HPSA,8040,2998,0,LI,,3000:1,,1,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06033,06,California,N,N,27/03/2024,03/27/2024
MSSAs 54 & 55 Big Pine/Lone Pine,1067508982,Geographic HPSA,Primary Care,14,14,CA,Designated,24/03/2010,10/09/2021,Unknown,06027000500,Not applicable,,1,5224,11.9,5224:1,Geographic Population,Rural,,,,N,"Inyo County, CA",,Region 9,CA,06027,06,California,Inyo,027,1,,,"Census Tract 5, Inyo County, California",,CA,CT,Census Tract,Geographic Population,3500,1724,0,TRC,,3500:1,,0.49,D,Hpsa Geo,,06,California,Not Applicable,R,CA,06027,06,California,N,N,27/03/2024,03/27/2024
MSSAs 54 & 55 Big Pine/Lone Pine,1067508982,Geographic HPSA,Primary Care,14,14,CA,Designated,24/03/2010,10/09/2021,Unknown,06027000800,Not applicable,,1,5224,11.9,5224:1,Geographic Population,Rural,,,,N,"Inyo County, CA",,Region 9,CA,06027,06,California,Inyo,027,1,,,"Census Tract 8, Inyo County, California",,CA,CT,Census Tract,Geographic Population,3500,1724,0,TRC,,3500:1,,0.49,D,Hpsa Geo,,06,California,Not Applicable,R,CA,06027,06,California,N,N,27/03/2024,03/27/2024
Saint Youstina,1067497915,Federally Qualified Health Center Look A Like,Primary Care,13,11,CA,Designated,09/09/2022,09/09/2022,Unknown,POINT,,,,342172,,,,Non-Rural,-117.8676869,33.73791733,09E01450,N,"Orange County, CA",92701,Region 9,CA,06059,06,California,Orange,059,1,"809 S Main St, Ste A",Santa Ana,Saint Youstina,1067497915,,UNK,Unknown,Federally Qualified Health Center Look A Like,,,0,,92701-6605,,,,D,FQHC LAL,,06,California,,N,CA,06059,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554403,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5544.03,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554404,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5544.04,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554302,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5543.02,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554104,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5541.04,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,U,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037553200,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5532,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,U,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554203,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5542.03,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554201,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5542.01,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554405,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5544.05,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037553801,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5538.01,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554204,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5542.04,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554105,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5541.05,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554301,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5543.01,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037553802,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5538.02,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037553901,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5539.01,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037553902,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5539.02,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554001,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5540.01,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554002,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5540.02,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554406,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5544.06,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554101,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5541.01,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037553100,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5531,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037553300,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5533,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI-MSSA 78.2m/Bellflower,1067471086,HPSA Population,Primary Care,12,NA,CA,Withdrawn,12/03/2018,02/01/2024,Unknown,06037554103,Not applicable,02/01/2024,11.78,46508,20.1,3948:1,Low Income Homeless Population HPSA,,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,5541.03,,CA,CT,Census Tract,Low Income Homeless Population HPSA,35340,11168,0,LI-H,,3000:1,,3.72,W,Hpsa Pop,01/02/2024,06,California,Not Applicable,,CA,06037,06,California,U,N,27/03/2024,03/27/2024
ADVENTIST HEALTH REEDLEY,1067463305,Rural Health Clinic,Primary Care,16,20,CA,Designated,05/10/2023,05/10/2023,Unknown,POINT,,,,225041,,,,Rural,-119.4523708,36.60787389,,N,"Fresno County, CA",93654,Region 9,CA,06019,06,California,Fresno,019,1,550 W Cypress Ave,Reedley,ADVENTIST HEALTH REEDLEY,1067463305,,UNK,Unknown,Rural Health Clinic,,,0,,93654-2096,,,,D,RHC,,06,California,,R,CA,06019,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602508,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6025.08, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,U,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037603704,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6037.04, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,U,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037603703,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6037.03, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602700,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6027, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037603500,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6035, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037603600,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6036, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602509,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6025.09, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,U,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602600,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6026, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,U,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602105,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6021.05, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602106,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6021.06, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602403,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6024.03, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602404,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6024.04, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
LI - MSSA 78.2bbbb/Gardena West,1067454920,HPSA Population,Primary Care,15,10,CA,Designated,29/07/2022,29/07/2022,Unknown,06037602504,Not applicable,,1.9563,29849,15.9,15258:1,Low Income Population HPSA,Non-Rural,,,,N,"Los Angeles County, CA",,Region 9,CA,06037,06,California,Los Angeles,037,1,,,"Census Tract 6025.04, Los Angeles County, California",,CA,CT,Census Tract,Low Income Population HPSA,5869,23980,0,LI,,3000:1,,7.9937,D,Hpsa Pop,,06,California,Not Applicable,N,CA,06037,06,California,N,N,27/03/2024,03/27/2024
